"card_id","disp_id","card_type","card_issued","client_id","account_id","disp_type","birth_number","district_id","district_name","district_region","district_inhabitants","district_small","district_medium","district_big","district_enorm","district_cities","district_ratio","district_avg_salarie","district_un95","district_un96","district_enterp","district_cc95","district_cc96","account_frequency","account_date","loan_id","loan_date","loan_amount","loan_duration","loan_payments","loan_status","order_id","order_bank_to","order_account_to","order_amount","order_k_symbol"
1005,9285,"classic","931107 00:00:00",9593,7753,"OWNER",685128,74,"Ostrava - mesto","north Moravia",323870,0,0,0,1,1,100.0,10673,4.75,5.44,100,18782,18347,"POPLATEK MESICNE",930208,6577,940311,51696,24,2154.0,"A",40883,"GH",62899923,2153.8,"UVER"
418,2623,"classic","950414 00:00:00",2623,2167,"OWNER",655716,16,"Jindrichuv Hradec","south Bohemia",93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,"POPLATEK MESICNE",930808,5390,941030,170256,24,7094.0,"A",32580,"IJ",18770349,5922.0,"SIPO"
418,2623,"classic","950414 00:00:00",2623,2167,"OWNER",655716,16,"Jindrichuv Hradec","south Bohemia",93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,"POPLATEK MESICNE",930808,5390,941030,170256,24,7094.0,"A",32581,"QR",38404792,7094.0,"UVER"
159,946,"classic","950501 00:00:00",946,790,"OWNER",510806,54,"Brno - mesto","south Moravia",387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,"POPLATEK MESICNE",930511,5126,940724,208128,48,4336.0,"B",30555,"MN",86892044,4335.8,"UVER"
1040,9890,"junior","950528 00:00:00",10198,8260,"OWNER",760524,31,"Tachov","west Bohemia",51313,34,12,3,1,4,59.2,8930,3.52,4.2,108,1328,1452,"POPLATEK MESICNE",930324,6686,940825,224604,36,6239.0,"A",41652,"QR",25747537,6239.2,"UVER"
1247,13660,"classic","950613 00:00:00",13968,11359,"OWNER",680413,61,"Trebic","south Moravia",117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059,"POPLATEK MESICNE",941001,7305,960806,54024,12,4502.0,"A",46328,"EF",37834555,4502.3,"UVER"
1247,13660,"classic","950613 00:00:00",13968,11359,"OWNER",680413,61,"Trebic","south Moravia",117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059,"POPLATEK MESICNE",941001,7305,960806,54024,12,4502.0,"A",46329,"OP",33080721,4518.0,"SIPO"
1247,13660,"classic","950613 00:00:00",13968,11359,"OWNER",680413,61,"Trebic","south Moravia",117897,139,28,5,1,6,53.8,8814,4.76,5.74,107,2112,2059,"POPLATEK MESICNE",941001,7305,960806,54024,12,4502.0,"A",46330,"AB",90330576,254.0," "
783,5433,"junior","951024 00:00:00",5433,4503,"OWNER",750924,50,"Svitavy","east Bohemia",102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123,2134,"POPLATEK MESICNE",950103,5900,960101,135360,48,2820.0,"C",36008,"YZ",21099597,2819.8,"UVER"
1225,13268,"classic","951122 00:00:00",13576,11042,"OWNER",740707,72,"Olomouc","north Moravia",226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208,"POPLATEK MESICNE",950129,7243,951204,217152,36,6032.0,"A",45826,"EF",86233681,6031.8,"UVER"
1225,13268,"classic","951122 00:00:00",13576,11042,"OWNER",740707,72,"Olomouc","north Moravia",226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672,9208,"POPLATEK MESICNE",950129,7243,951204,217152,36,6032.0,"A",45827,"UV",59894961,8436.0,"SIPO"
